"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"from";"created_time";"updated_time";"full_picture";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"1";"11";"1";"6604386669_10159393923476670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Open from the outset, the 190 SL presented itself to the public at the same time as the 300 SL. Its roots were not in racing, but in proven series production technology.  via Mercedes-Benz Museum #MercedesBenz #MBclassic #yearoftheSL #190SL";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-23T21:55:02+0000";"2021-07-25T00:38:46+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/224001235_10159393923481670_1635508424953658424_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeGKyjKqIwwg9bxo0L4dKx4trk9FYvl4EBCuT0Vi-XgQEHrEeQnWRrIiMccAa2SLpeVDUn3fDSP00iKp2WJrYtrb&_nc_ohc=1uPGjCZcC70AX9DqbOr&_nc_ht=scontent.fdac23-1.fna&oh=153a65857bd31bb1fda07bd523f554f4&oe=61023416";"32";"56";"3471";"3052";"400";"10";"1";"6";"2"
"1";"12";"1";"6604386669_10159393476351670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Individual beats identical. Thanks to a wide range of interior configuration options, the new #CLS is an icon of many styles and looks.  Learn more: mb4.me/fb_the_new_CLS  #TheNewCLS #MercedesBenz";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-23T18:00:09+0000";"2021-07-24T20:25:47+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p720x720/223754246_10159393476196670_2672553644076072455_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEuvUiiekCiQRVEoakaBG5b1BCyoziO6ZjUELKjOI7pmFy0Rqy5EwzeXbV_ksF6jLSfuSJpRw5wARoaOCMyLKJ3&_nc_ohc=i1cMg6dMs74AX_B_lyu&_nc_ht=scontent.fdac23-1.fna&oh=36dee73659ae1dd166898bd478051637&oe=6101F98E";"27";"23";"2100";"1825";"264";"6";"0";"5";"0"
"1";"13";"1";"6604386669_10159393074436670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"The new #EQS is parked at the Port of Monaco -  but not for long! Host Dennis has a plan to surprise Mercedes-EQ Formula E racing driver Nyck de Vries. What will the two get up to on the streets of the Principality?  #MercedesEQ #ProgressiveLuxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-23T14:00:11+0000";"2021-07-25T00:43:37+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/222720254_10159393074116670_7146262949512868563_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeE1fS1vtPxt_R2WsiUrAK4sBXpBP8LUHiMFekE_wtQeIwC1vJ8EmrIbwbZ9n0zjvXuT75a8bKF472G_xy285YxJ&_nc_ohc=6M2Ttevn7h0AX9YbU7H&_nc_ht=scontent.fdac23-1.fna&oh=046132c4225f573b70029667c12d6232&oe=61016F41";"21";"43";"3399";"3006";"375";"11";"2";"5";"0"
"1";"14";"1";"6604386669_10159392493191670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Hitting the road never felt so satisfying.  📷 lew.de (IG) for #MBcreator  #MercedesBenz #GLE";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-23T06:00:09+0000";"2021-07-24T20:27:34+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/223542659_10159392493201670_1895249697426302123_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeEvnBS2Z7q6fReLVSWrVZRUETBo3vlfrw0RMGje-V-vDZvomad_ydntQiUQIHuY94zMS3IuN6oT0CCigF_0CC8K&_nc_ohc=FUf5-XjwXA8AX9fmAzx&_nc_ht=scontent.fdac23-1.fna&oh=ee447e4a09c51188386d27da8398e834&oe=61025369";"45";"62";"5549";"4945";"588";"7";"1";"6";"2"
"1";"15";"1";"6604386669_10159392209546670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"No other like the G-Class: it looks good on all terrains and sets new standards for off-road performance.  via Mercedes-Benz G-Class #MercedesBenz #GClass #strongerthantime";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-23T02:00:01+0000";"2021-07-24T20:29:51+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p720x720/220453530_10159392209561670_4082527236783104135_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeHt6qGnN1Lva79n2bX_D4vEfNlV1-YCtZV82VXX5gK1lcoktNGlPxEXcL0pg6KM_PwK-4RaYl70UVGhXeW-9ivF&_nc_ohc=wZk9YvJBf68AX-goWD8&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=7ffe1c7b91e8a215ca7b2cc51b96711e&oe=6101B6A4";"68";"83";"8837";"7798";"1012";"13";"1";"11";"2"
"1";"16";"1";"6604386669_10159391781911670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Unmistakably stunning – the #EQA.  📸  Lotter Live for #MBcreator  #MercedesEQ #ProgressiveLuxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-22T21:55:01+0000";"2021-07-24T21:47:10+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/222347887_10159391781916670_8510914114892102985_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeE5ei1pNey2XyPau7wjkxDDsOAgicoeDWGw4CCJyh4NYeU5u-G5tAj9lT65BGcpOWKOKSO3pEb5fcB6TecK8DKK&_nc_ohc=MUvp8-RVjLUAX8VOsnX&_nc_ht=scontent.fdac23-1.fna&oh=406214c032bfe36d332fbb52ff606670&oe=6101C3F5";"52";"68";"5645";"5021";"597";"8";"5";"12";"2"
"1";"17";"1";"6604386669_10159391352246670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Our electric product offensive is running at full speed: In Q1, every fourth car we sold in Europe was all-electric or plug-in hybrid. In 2021, we are introducing four new battery electric vehicles – next up: The EQE. Next year, we will present SUV versions of the EQS and EQE.  #MercedesBenz #MercedesEQ #AllElectric  [EQV 300 | Stromverbrauch kombiniert: 26,4–26,3 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | mb4.me/DAT-Leitfaden-electric | mb4.me/WLTP_HQ]";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-22T18:00:45+0000";"2021-07-24T20:39:57+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/211619238_222910123058825_7106246994517332628_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeESJkGLa-W0lon1y8hkXZJlCfGBVb2jK7MJ8YFVvaMrs0DkJQ0T2POSouS-ioVxxP1bvocOe555R6w6DOAkqoSL&_nc_ohc=wsj9OTrPFxoAX-c4hUp&_nc_ht=scontent.fdac23-1.fna&oh=5559e64c504f2333fed03fb82dfbf795&oe=61030C6B";"71";"143";"4075";"3600";"445";"9";"5";"10";"6"
"1";"18";"1";"6604386669_10159390982561670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Experience outstanding design and driving pleasure with the all-electric #EQS.  📸 iheartdaviddaub (IG) for #MBcreator  #MercedesEQ #ProgressiveLuxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-22T14:00:19+0000";"2021-07-24T01:20:03+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/222239493_10159390982566670_5982209279399841964_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeEHg-H7XhIXM2WqjI3e0Y07PfTty9yerhk99O3L3J6uGSFxMuPMIoBJIZ_mg4PJUKEIOCPUNOAxkwz792vdJ3h3&_nc_ohc=biUr3yKG4QQAX8Fvxui&_nc_ht=scontent.fdac23-1.fna&oh=d41ea360f96e193c4713960ee4c742c6&oe=61029B33";"44";"55";"3789";"3369";"404";"4";"1";"9";"2"
"1";"19";"1";"6604386669_10159390635001670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Pure lines in perfect proportions.  📸  Lotter Live for #MBcreator  #MercedesEQ #EQA #ProgressiveLuxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-22T10:00:14+0000";"2021-07-23T00:14:40+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/222091196_10159390635006670_2485849398691592781_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeHVzIjRaGkni19lYe8--5piWFUys4uzMYxYVTKzi7MxjHyWbC8Tw9l12m5F-Rc1HoQdAkZc2VDT0X776CIAvVEY&_nc_ohc=74ur3DVY5qAAX-WPjVV&_nc_ht=scontent.fdac23-1.fna&oh=1eed3b82036e766c53bf8ccc5ef69fed&oe=6102D13E";"34";"72";"5152";"4578";"554";"5";"1";"11";"3"
"1";"20";"1";"6604386669_10159390385956670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Embark on new journeys with the all-electric #EQS.  📸  Noahsambenjamin for #MBcreator  #MercedesEQ #ProgressiveLuxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-22T06:00:30+0000";"2021-07-25T11:07:41+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/221930396_10159390385961670_7735321624036551114_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeH7eJI_FebZLvW-s_GIJQKRLqaWPUP5tGYuppY9Q_m0ZirnFNSoT0zMUIdXHrZDu7noH_0IFQ9DfsILYCwfsZt8&_nc_ohc=g3yhjTp8CeMAX-EvKHB&_nc_oc=AQmY2yP2b8IwOFDfRPBF77XOrkmPzYkDMcHwImcJ8fwZ8jlr59oBRMPUEZe4Wrkr3Lo&_nc_ht=scontent.fdac23-1.fna&oh=13516836a1e73ba46f70a1d3c4b70747&oe=6101EE3E";"56";"80";"7002";"6250";"717";"12";"2";"17";"4"
